medal_date,medal_type,athlete_code
2024-08-07,Bronze Medal,1923529
2024-08-07,Bronze Medal,1923521
2024-08-07,Gold Medal,1955077
2024-08-07,Gold Medal,1955080
2024-08-07,Gold Medal,1955081
2024-08-07,Gold Medal,1955106
2024-08-07,Gold Medal,1955108
2024-08-07,Gold Medal,1955079
2024-08-07,Silver Medal,1945056
2024-08-07,Silver Medal,1945080
2024-08-07,Silver Medal,1945081
2024-08-07,Silver Medal,1945061
2024-08-07,Silver Medal,1945066
2024-08-07,Bronze Medal,1912519
2024-08-07,Bronze Medal,1912507
2024-08-07,Bronze Medal,1912532
2024-08-07,Bronze Medal,1912538
2024-08-07,Bronze Medal,1957083
2024-08-07,Bronze Medal,1912508
2024-08-08,Gold Medal,1927393
2024-08-08,Gold Medal,1927392
2024-08-08,Silver Medal,1548871
2024-08-08,Silver Medal,1548868
2024-08-08,Bronze Medal,1954023
2024-08-08,Bronze Medal,1953996
2024-08-08,Gold Medal,1913740
2024-08-08,Gold Medal,1913736
2024-08-08,Gold Medal,1913746
2024-08-08,Gold Medal,1913737
2024-08-08,Silver Medal,1940222
2024-08-08,Silver Medal,1940221
2024-08-08,Silver Medal,1940217
2024-08-08,Silver Medal,1940220
2024-08-08,Bronze Medal,1953992
2024-08-08,Bronze Medal,1953983
2024-08-08,Bronze Medal,1954051
2024-08-08,Bronze Medal,1954008
2024-08-08,Gold Medal,1945383
2024-08-08,Gold Medal,1945378
2024-08-08,Gold Medal,1945392
2024-08-08,Gold Medal,1945375
2024-08-08,Silver Medal,1913800
2024-08-08,Silver Medal,1913749
2024-08-08,Silver Medal,1913793
2024-08-08,Silver Medal,1913743
2024-08-08,Bronze Medal,1570556
2024-08-08,Bronze Medal,1568745
2024-08-08,Bronze Medal,1568350
2024-08-08,Bronze Medal,1568750
2024-08-08,Bronze Medal,1974002
2024-08-08,Bronze Medal,1970338
2024-08-08,Bronze Medal,1966721
2024-08-08,Bronze Medal,1965671
2024-08-08,Bronze Medal,1974721
2024-08-08,Bronze Medal,1965956
2024-08-08,Bronze Medal,1967241
2024-08-08,Bronze Medal,1966630
2024-08-08,Bronze Medal,1970731
2024-08-08,Bronze Medal,1965995
2024-08-08,Bronze Medal,1965809
2024-08-08,Bronze Medal,1965515
2024-08-08,Bronze Medal,1966539
2024-08-08,Bronze Medal,1966919
2024-08-08,Bronze Medal,1967172
2024-08-08,Bronze Medal,1966639
2024-08-08,Bronze Medal,1966642
2024-08-08,Bronze Medal,1966624
2024-08-08,Bronze Medal,1967053
2024-08-08,Gold Medal,1971941
2024-08-08,Gold Medal,1971905
2024-08-08,Gold Medal,1971929
2024-08-08,Gold Medal,1971922
2024-08-08,Gold Medal,1971917
2024-08-08,Gold Medal,1971904
2024-08-08,Gold Medal,1971921
2024-08-08,Gold Medal,1971911
2024-08-08,Gold Medal,1971976
2024-08-08,Gold Medal,1971980
2024-08-08,Gold Medal,1971934
2024-08-08,Gold Medal,1971909
2024-08-08,Gold Medal,1971956
2024-08-08,Gold Medal,1971932
2024-08-08,Gold Medal,1971910
2024-08-08,Gold Medal,1971963
2024-08-08,Gold Medal,1971968
2024-08-08,Gold Medal,1971952
2024-08-08,Silver Medal,1561321
2024-08-08,Silver Medal,1561319
2024-08-08,Silver Medal,1561323
2024-08-08,Silver Medal,1561318
2024-08-08,Silver Medal,1561325
2024-08-08,Silver Medal,1561362
2024-08-08,Silver Medal,1561360
2024-08-08,Silver Medal,1561365
2024-08-08,Silver Medal,1561316
2024-08-08,Silver Medal,1561413
2024-08-08,Silver Medal,1561322
2024-08-08,Silver Medal,1561381
2024-08-08,Silver Medal,1561320
2024-08-08,Silver Medal,1561324
2024-08-08,Silver Medal,1561377
2024-08-08,Silver Medal,1561374
2024-08-08,Silver Medal,1561386
2024-08-08,Silver Medal,1561402
2024-08-08,Bronze Medal,1543019
2024-08-08,Bronze Medal,1543026
2024-08-08,Bronze Medal,1543059
2024-08-08,Bronze Medal,1543020
2024-08-08,Bronze Medal,1543033
2024-08-08,Bronze Medal,1543061
2024-08-08,Bronze Medal,1543022
2024-08-08,Bronze Medal,1543017
2024-08-08,Bronze Medal,1543028
2024-08-08,Bronze Medal,1543015
2024-08-08,Bronze Medal,1543064
2024-08-08,Bronze Medal,1543024
2024-08-08,Bronze Medal,1543029
2024-08-08,Bronze Medal,1543031
2024-08-08,Bronze Medal,1543021
2024-08-08,Bronze Medal,1543030
2024-08-08,Gold Medal,1566451
2024-08-08,Gold Medal,1566447
2024-08-08,Silver Medal,1941435
2024-08-08,Silver Medal,1941438
2024-08-08,Bronze Medal,1564652
2024-08-08,Bronze Medal,1564651
2024-08-08,Gold Medal,1899650
2024-08-08,Gold Medal,1899647
2024-08-08,Silver Medal,1538041
2024-08-08,Silver Medal,1538028
2024-08-08,Bronze Medal,1918835
2024-08-08,Bronze Medal,1918832
2024-08-09,Gold Medal,1974038
2024-08-09,Gold Medal,1974049
2024-08-09,Gold Medal,1974065
2024-08-09,Gold Medal,1974072
2024-08-09,Gold Medal,1974096
2024-08-09,Gold Medal,1974289
2024-08-09,Silver Medal,1981059
2024-08-09,Silver Medal,4343340
2024-08-09,Silver Medal,1981060
2024-08-09,Silver Medal,1981055
2024-08-09,Silver Medal,4339445
2024-08-09,Bronze Medal,1924439
2024-08-09,Bronze Medal,3557190
2024-08-09,Bronze Medal,1924431
2024-08-09,Bronze Medal,1924442
2024-08-09,Bronze Medal,1924457
2024-08-09,Gold Medal,1960709
2024-08-09,Gold Medal,1960115
2024-08-09,Gold Medal,1961011
2024-08-09,Gold Medal,1960181
2024-08-09,Gold Medal,1965942
2024-08-09,Gold Medal,1965868
2024-08-09,Silver Medal,1924384
2024-08-09,Silver Medal,1956843
2024-08-09,Silver Medal,1924432
2024-08-09,Silver Medal,1924446
2024-08-09,Silver Medal,1924460
2024-08-09,Silver Medal,1924507
2024-08-09,Bronze Medal,1920096
2024-08-09,Bronze Medal,1920119
2024-08-09,Bronze Medal,1920142
2024-08-09,Bronze Medal,1920164
2024-08-09,Bronze Medal,1920169
2024-08-09,Gold Medal,1964058
2024-08-09,Gold Medal,1964088
2024-08-09,Silver Medal,1967340
2024-08-09,Silver Medal,1967346
2024-08-09,Bronze Medal,1976570
2024-08-09,Bronze Medal,1976465
2024-08-09,Gold Medal,1913746
2024-08-09,Gold Medal,1913736
2024-08-09,Silver Medal,1570441
2024-08-09,Silver Medal,1570845
2024-08-09,Bronze Medal,1940218
2024-08-09,Bronze Medal,1940223
2024-08-09,Gold Medal,1927382
2024-08-09,Gold Medal,1927383
2024-08-09,Silver Medal,1897153
2024-08-09,Silver Medal,1897155
2024-08-09,Bronze Medal,1964583
2024-08-09,Bronze Medal,1964547
2024-08-09,Gold Medal,1945383
2024-08-09,Gold Medal,1945378
2024-08-09,Silver Medal,1568350
2024-08-09,Silver Medal,1568750
2024-08-09,Bronze Medal,1913800
2024-08-09,Bronze Medal,1913749
2024-08-09,Bronze Medal,1570556
2024-08-09,Bronze Medal,1568745
2024-08-09,Gold Medal,1923042
2024-08-09,Gold Medal,1923048
2024-08-09,Silver Medal,1912519
2024-08-09,Silver Medal,1912507
2024-08-09,Bronze Medal,1969170
2024-08-09,Bronze Medal,1969173
2024-08-09,Gold Medal,1942296
2024-08-09,Gold Medal,1942269
2024-08-09,Gold Medal,1942241
2024-08-09,Gold Medal,1942076
2024-08-09,Gold Medal,1942056
2024-08-09,Gold Medal,1942037
2024-08-09,Gold Medal,1942222
2024-08-09,Gold Medal,1942301
2024-08-09,Gold Medal,1942280
2024-08-09,Gold Medal,1942033
2024-08-09,Gold Medal,1942221
2024-08-09,Gold Medal,1942259
2024-08-09,Gold Medal,1942077
2024-08-09,Gold Medal,1942257
2024-08-09,Gold Medal,1942099
2024-08-09,Gold Medal,1942039
2024-08-09,Gold Medal,1942089
2024-08-09,Gold Medal,1942256
2024-08-09,Gold Medal,1942248
2024-08-09,Gold Medal,1942289
2024-08-09,Gold Medal,1942046
2024-08-09,Gold Medal,1942104
2024-08-09,Silver Medal,1900695
2024-08-09,Silver Medal,1900683
2024-08-09,Silver Medal,1900718
2024-08-09,Silver Medal,4669223
2024-08-09,Silver Medal,1900709
2024-08-09,Silver Medal,1900672
2024-08-09,Silver Medal,1900699
2024-08-09,Silver Medal,1900626
2024-08-09,Silver Medal,1900668
2024-08-09,Silver Medal,1900674
2024-08-09,Silver Medal,1900653
2024-08-09,Silver Medal,1900694
2024-08-09,Silver Medal,1900644
2024-08-09,Silver Medal,3549727
2024-08-09,Silver Medal,1900682
2024-08-09,Silver Medal,1900702
2024-08-09,Silver Medal,1900684
2024-08-09,Silver Medal,1900641
2024-08-09,Silver Medal,1900690
2024-08-09,Silver Medal,1900651
2024-08-09,Silver Medal,1900680
2024-08-09,Bronze Medal,1880591
2024-08-09,Bronze Medal,1880576
2024-08-09,Bronze Medal,1880566
2024-08-09,Bronze Medal,1880606
2024-08-09,Bronze Medal,1880595
2024-08-09,Bronze Medal,1880574
2024-08-09,Bronze Medal,1880572
2024-08-09,Bronze Medal,1880581
2024-08-09,Bronze Medal,1880584
2024-08-09,Bronze Medal,1880573
2024-08-09,Bronze Medal,1880564
2024-08-09,Bronze Medal,1880602
2024-08-09,Bronze Medal,1880565
2024-08-09,Bronze Medal,1880609
2024-08-09,Bronze Medal,1880575
2024-08-09,Bronze Medal,1880592
2024-08-09,Bronze Medal,1880583
2024-08-09,Bronze Medal,1880610
2024-08-09,Bronze Medal,1880571
2024-08-09,Bronze Medal,1880578
2024-08-09,Gold Medal,1971974
2024-08-09,Gold Medal,1971927
2024-08-09,Gold Medal,1971955
2024-08-09,Gold Medal,1971960
2024-08-09,Gold Medal,1971978
2024-08-09,Gold Medal,1971940
2024-08-09,Gold Medal,1971948
2024-08-09,Gold Medal,1971903
2024-08-09,Gold Medal,1971975
2024-08-09,Gold Medal,1971945
2024-08-09,Gold Medal,1971950
2024-08-09,Gold Medal,1971919
2024-08-09,Gold Medal,1971942
2024-08-09,Gold Medal,1971965
2024-08-09,Gold Medal,1971973
2024-08-09,Gold Medal,1971958
2024-08-09,Gold Medal,1971923
2024-08-09,Silver Medal,1926915
2024-08-09,Silver Medal,1926896
2024-08-09,Silver Medal,1926914
2024-08-09,Silver Medal,1926920
2024-08-09,Silver Medal,1926893
2024-08-09,Silver Medal,1926908
2024-08-09,Silver Medal,1926901
2024-08-09,Silver Medal,1926909
2024-08-09,Silver Medal,1926894
2024-08-09,Silver Medal,1926923
2024-08-09,Silver Medal,1926898
2024-08-09,Silver Medal,1926895
2024-08-09,Silver Medal,1926926
2024-08-09,Silver Medal,1926912
2024-08-09,Silver Medal,1926922
2024-08-09,Silver Medal,1926910
2024-08-09,Silver Medal,1926916
2024-08-09,Bronze Medal,1538304
2024-08-09,Bronze Medal,1538274
2024-08-09,Bronze Medal,1538294
2024-08-09,Bronze Medal,1538253
2024-08-09,Bronze Medal,1538244
2024-08-09,Bronze Medal,1538276
2024-08-09,Bronze Medal,1538266
2024-08-09,Bronze Medal,1538295
2024-08-09,Bronze Medal,1538299
2024-08-09,Bronze Medal,1538261
2024-08-09,Bronze Medal,1538305
2024-08-09,Bronze Medal,1538262
2024-08-09,Bronze Medal,1538263
2024-08-09,Bronze Medal,1538260
2024-08-09,Bronze Medal,1538277
2024-08-09,Bronze Medal,1900397
2024-08-09,Gold Medal,1902295
2024-08-09,Gold Medal,1902300
2024-08-09,Gold Medal,1902301
2024-08-09,Silver Medal,1563381
2024-08-09,Silver Medal,1563386
2024-08-09,Silver Medal,1563390
2024-08-09,Bronze Medal,1889178
2024-08-09,Bronze Medal,1889176
2024-08-09,Bronze Medal,1889177
2024-08-09,Bronze Medal,1917987
2024-08-09,Bronze Medal,1917988
2024-08-09,Bronze Medal,1917991
2024-08-09,Bronze Medal,1917993
2024-08-09,Bronze Medal,1918000
2024-08-09,Bronze Medal,1918002
2024-08-09,Bronze Medal,1918003
2024-08-09,Bronze Medal,1917982
2024-08-09,Bronze Medal,1918007
2024-08-09,Bronze Medal,1918009
2024-08-09,Bronze Medal,1918011
2024-08-09,Bronze Medal,1918012
2024-08-09,Bronze Medal,1917994
2024-08-10,Gold Medal,1908852
2024-08-10,Gold Medal,1908853
2024-08-10,Silver Medal,1544151
2024-08-10,Silver Medal,1980935
2024-08-10,Bronze Medal,1972513
2024-08-10,Bronze Medal,1972512
2024-08-10,Gold Medal,1960604
2024-08-10,Gold Medal,1960684
2024-08-10,Gold Medal,1960590
2024-08-10,Gold Medal,1960177
2024-08-10,Gold Medal,1965202
2024-08-10,Gold Medal,1965289
2024-08-10,Gold Medal,1960111
2024-08-10,Gold Medal,4979564
2024-08-10,Silver Medal,4975921
2024-08-10,Silver Medal,1950939
2024-08-10,Silver Medal,1950897
2024-08-10,Silver Medal,1951506
2024-08-10,Silver Medal,1950918
2024-08-10,Silver Medal,1936983
2024-08-10,Bronze Medal,1924406
2024-08-10,Bronze Medal,1924409
2024-08-10,Bronze Medal,4663897
2024-08-10,Bronze Medal,1924426
2024-08-10,Bronze Medal,1924430
2024-08-10,Bronze Medal,1956853
2024-08-10,Bronze Medal,1924402
2024-08-10,Gold Medal,1960650
2024-08-10,Gold Medal,4979555
2024-08-10,Gold Medal,1960984
2024-08-10,Gold Medal,1961016
2024-08-10,Gold Medal,1960909
2024-08-10,Gold Medal,1960179
2024-08-10,Gold Medal,1965308
2024-08-10,Gold Medal,1965868
2024-08-10,Silver Medal,1972078
2024-08-10,Silver Medal,1972288
2024-08-10,Silver Medal,1972115
2024-08-10,Silver Medal,1972240
2024-08-10,Silver Medal,1972248
2024-08-10,Silver Medal,4980004
2024-08-10,Silver Medal,1972251
2024-08-10,Bronze Medal,1924383
2024-08-10,Bronze Medal,1924437
2024-08-10,Bronze Medal,1956846
2024-08-10,Bronze Medal,1924464
2024-08-10,Bronze Medal,1924463
2024-08-10,Bronze Medal,1924470
2024-08-10,Bronze Medal,1924506
2024-08-10,Bronze Medal,1924509
2024-08-10,Gold Medal,1954698
2024-08-10,Gold Medal,1954701
2024-08-10,Gold Medal,1954714
2024-08-10,Gold Medal,1954700
2024-08-10,Gold Medal,1954724
2024-08-10,Gold Medal,1954705
2024-08-10,Gold Medal,1954684
2024-08-10,Gold Medal,1954683
2024-08-10,Gold Medal,1954709
2024-08-10,Gold Medal,1954688
2024-08-10,Gold Medal,1954699
2024-08-10,Gold Medal,1954687
2024-08-10,Silver Medal,1573636
2024-08-10,Silver Medal,1573628
2024-08-10,Silver Medal,1573627
2024-08-10,Silver Medal,1573638
2024-08-10,Silver Medal,1573640
2024-08-10,Silver Medal,1573632
2024-08-10,Silver Medal,1573630
2024-08-10,Silver Medal,1573634
2024-08-10,Silver Medal,1573633
2024-08-10,Silver Medal,1573639
2024-08-10,Silver Medal,1573660
2024-08-10,Silver Medal,1573642
2024-08-10,Bronze Medal,1948421
2024-08-10,Bronze Medal,1948420
2024-08-10,Bronze Medal,1948413
2024-08-10,Bronze Medal,1948404
2024-08-10,Bronze Medal,1948416
2024-08-10,Bronze Medal,1948407
2024-08-10,Bronze Medal,1948411
2024-08-10,Bronze Medal,1948417
2024-08-10,Bronze Medal,1948408
2024-08-10,Bronze Medal,1948405
2024-08-10,Bronze Medal,1948402
2024-08-10,Bronze Medal,1948418
2024-08-10,Gold Medal,1934586
2024-08-10,Gold Medal,1934579
2024-08-10,Silver Medal,1562864
2024-08-10,Silver Medal,1562868
2024-08-10,Bronze Medal,1878383
2024-08-10,Bronze Medal,1878386
2024-08-10,Gold Medal,1933816
2024-08-10,Gold Medal,1933821
2024-08-10,Silver Medal,1923518
2024-08-10,Silver Medal,1923519
2024-08-10,Bronze Medal,1879180
2024-08-10,Bronze Medal,1879160
2024-08-10,Gold Medal,1943575
2024-08-10,Gold Medal,1943553
2024-08-10,Gold Medal,1943542
2024-08-10,Gold Medal,1943555
2024-08-10,Gold Medal,1943580
2024-08-10,Gold Medal,1943566
2024-08-10,Gold Medal,1943588
2024-08-10,Gold Medal,1943596
2024-08-10,Gold Medal,1943591
2024-08-10,Gold Medal,1943558
2024-08-10,Gold Medal,1943586
2024-08-10,Gold Medal,1943550
2024-08-10,Gold Medal,1943576
2024-08-10,Gold Medal,1943587
2024-08-10,Gold Medal,1943585
2024-08-10,Gold Medal,1943567
2024-08-10,Gold Medal,1943547
2024-08-10,Gold Medal,1943574
2024-08-10,Gold Medal,4665325
2024-08-10,Gold Medal,1943569
2024-08-10,Silver Medal,1967608
2024-08-10,Silver Medal,1967575
2024-08-10,Silver Medal,1967629
2024-08-10,Silver Medal,1967625
2024-08-10,Silver Medal,1967616
2024-08-10,Silver Medal,1967626
2024-08-10,Silver Medal,1967602
2024-08-10,Silver Medal,1967635
2024-08-10,Silver Medal,1967574
2024-08-10,Silver Medal,1967617
2024-08-10,Silver Medal,1967599
2024-08-10,Silver Medal,1967630
2024-08-10,Silver Medal,1967636
2024-08-10,Silver Medal,1967612
2024-08-10,Silver Medal,1967628
2024-08-10,Silver Medal,1967594
2024-08-10,Silver Medal,1967565
2024-08-10,Silver Medal,1967593
2024-08-10,Silver Medal,1967623
2024-08-10,Silver Medal,1967567
2024-08-10,Silver Medal,1967606
2024-08-10,Silver Medal,1967607
2024-08-10,Gold Medal,1878514
2024-08-10,Gold Medal,1878518
2024-08-10,Gold Medal,1878496
2024-08-10,Gold Medal,1878486
2024-08-10,Gold Medal,1878515
2024-08-10,Gold Medal,1878492
2024-08-10,Gold Medal,1878516
2024-08-10,Gold Medal,1878511
2024-08-10,Gold Medal,1878493
2024-08-10,Gold Medal,1878509
2024-08-10,Gold Medal,1878501
2024-08-10,Gold Medal,1878487
2024-08-10,Gold Medal,1878500
2024-08-10,Gold Medal,1878495
2024-08-10,Gold Medal,1878490
2024-08-10,Silver Medal,1879834
2024-08-10,Silver Medal,1879845
2024-08-10,Silver Medal,1879853
2024-08-10,Silver Medal,1879854
2024-08-10,Silver Medal,1879842
2024-08-10,Silver Medal,1879856
2024-08-10,Silver Medal,1879826
2024-08-10,Silver Medal,1879830
2024-08-10,Silver Medal,1879839
2024-08-10,Silver Medal,1893824
2024-08-10,Silver Medal,1879831
2024-08-10,Silver Medal,1879846
2024-08-10,Silver Medal,1879847
2024-08-10,Silver Medal,1879836
2024-08-10,Silver Medal,1946320
2024-08-10,Silver Medal,1879835
2024-08-10,Silver Medal,1879851
2024-08-10,Bronze Medal,1895245
2024-08-10,Bronze Medal,1895210
2024-08-10,Bronze Medal,1895215
2024-08-10,Bronze Medal,1895159
2024-08-10,Bronze Medal,1895232
2024-08-10,Bronze Medal,1895250
2024-08-10,Bronze Medal,1895246
2024-08-10,Bronze Medal,1895168
2024-08-10,Bronze Medal,1895224
2024-08-10,Bronze Medal,1895214
2024-08-10,Bronze Medal,1895187
2024-08-10,Bronze Medal,1895213
2024-08-10,Bronze Medal,1895152
2024-08-10,Bronze Medal,1895226
2024-08-10,Bronze Medal,1895166
2024-08-10,Gold Medal,1902307
2024-08-10,Gold Medal,1902313
2024-08-10,Gold Medal,1902314
2024-08-10,Silver Medal,1931100
2024-08-10,Silver Medal,1931098
2024-08-10,Silver Medal,1931101
2024-08-10,Bronze Medal,1936435
2024-08-10,Bronze Medal,1936419
2024-08-10,Bronze Medal,1936425
2024-08-10,Gold Medal,1574049
2024-08-10,Gold Medal,1574045
2024-08-10,Gold Medal,1574055
2024-08-10,Gold Medal,1574057
2024-08-10,Gold Medal,1574048
2024-08-10,Gold Medal,1574061
2024-08-10,Gold Medal,1574041
2024-08-10,Gold Medal,1574067
2024-08-10,Gold Medal,1574046
2024-08-10,Gold Medal,1574058
2024-08-10,Gold Medal,1574060
2024-08-10,Gold Medal,1574065
2024-08-10,Gold Medal,1574043
2024-08-10,Silver Medal,1902882
2024-08-10,Silver Medal,1902890
2024-08-10,Silver Medal,1902892
2024-08-10,Silver Medal,1902902
2024-08-10,Silver Medal,1902893
2024-08-10,Silver Medal,1902886
2024-08-10,Silver Medal,1902901
2024-08-10,Silver Medal,1902910
2024-08-10,Silver Medal,1902881
2024-08-10,Silver Medal,1902869
2024-08-10,Silver Medal,1902875
2024-08-10,Silver Medal,1902880
2024-08-10,Silver Medal,1902870
2024-08-10,Bronze Medal,1964076
2024-08-10,Bronze Medal,1964152
2024-08-10,Bronze Medal,1964140
2024-08-10,Bronze Medal,1964180
2024-08-10,Bronze Medal,1964167
2024-08-10,Bronze Medal,1964169
2024-08-10,Bronze Medal,1964094
2024-08-10,Bronze Medal,1964065
2024-08-10,Bronze Medal,1964063
2024-08-10,Bronze Medal,1964106
2024-08-10,Bronze Medal,1964183
2024-08-10,Bronze Medal,1964136
2024-08-10,Bronze Medal,1964151
2024-08-10,Gold Medal,1954878
2024-08-10,Gold Medal,1954897
2024-08-10,Gold Medal,1954877
2024-08-10,Gold Medal,1954893
2024-08-10,Gold Medal,1954895
2024-08-10,Gold Medal,1954875
2024-08-10,Gold Medal,1954900
2024-08-10,Gold Medal,1954894
2024-08-10,Gold Medal,1954880
2024-08-10,Gold Medal,1954874
2024-08-10,Gold Medal,1954881
2024-08-10,Gold Medal,1954886
2024-08-10,Gold Medal,1954903
2024-08-10,Silver Medal,1947514
2024-08-10,Silver Medal,1947523
2024-08-10,Silver Medal,1947513
2024-08-10,Silver Medal,1947506
2024-08-10,Silver Medal,1947540
2024-08-10,Silver Medal,1947497
2024-08-10,Silver Medal,1947508
2024-08-10,Silver Medal,1947541
2024-08-10,Silver Medal,1947546
2024-08-10,Silver Medal,1947498
2024-08-10,Silver Medal,1947528
2024-08-10,Silver Medal,1947512
2024-08-10,Silver Medal,1947515
2024-08-10,Bronze Medal,1968845
2024-08-10,Bronze Medal,1968848
2024-08-10,Bronze Medal,1968857
2024-08-10,Bronze Medal,1968858
2024-08-10,Bronze Medal,1968860
2024-08-10,Bronze Medal,1968855
2024-08-10,Bronze Medal,1968851
2024-08-10,Bronze Medal,1968847
2024-08-10,Bronze Medal,1968856
2024-08-10,Bronze Medal,1968850
2024-08-10,Bronze Medal,1968854
2024-08-10,Bronze Medal,1968853
2024-08-10,Bronze Medal,1968846
2024-08-11,Gold Medal,1954742
2024-08-11,Gold Medal,1954748
2024-08-11,Gold Medal,1954739
2024-08-11,Gold Medal,1954730
2024-08-11,Gold Medal,1954734
2024-08-11,Gold Medal,1954757
2024-08-11,Gold Medal,1954752
2024-08-11,Gold Medal,1954729
2024-08-11,Gold Medal,1954753
2024-08-11,Gold Medal,1954758
2024-08-11,Gold Medal,1954754
2024-08-11,Gold Medal,1954735
2024-08-11,Silver Medal,1573445
2024-08-11,Silver Medal,1573442
2024-08-11,Silver Medal,1573452
2024-08-11,Silver Medal,1573439
2024-08-11,Silver Medal,1573454
2024-08-11,Silver Medal,1573455
2024-08-11,Silver Medal,1573451
2024-08-11,Silver Medal,1573457
2024-08-11,Silver Medal,1573440
2024-08-11,Silver Medal,1573448
2024-08-11,Silver Medal,1573449
2024-08-11,Silver Medal,1573441
2024-08-11,Bronze Medal,1939955
2024-08-11,Bronze Medal,1939956
2024-08-11,Bronze Medal,1939970
2024-08-11,Bronze Medal,1939971
2024-08-11,Bronze Medal,1939943
2024-08-11,Bronze Medal,1939952
2024-08-11,Bronze Medal,1939964
2024-08-11,Bronze Medal,1939948
2024-08-11,Bronze Medal,1939946
2024-08-11,Bronze Medal,1939954
2024-08-11,Bronze Medal,1939959
2024-08-11,Bronze Medal,1939967
2024-08-11,Gold Medal,1895223
2024-08-11,Gold Medal,1895248
2024-08-11,Gold Medal,1895241
2024-08-11,Gold Medal,1895238
2024-08-11,Gold Medal,1895239
2024-08-11,Gold Medal,1895202
2024-08-11,Gold Medal,1895227
2024-08-11,Gold Medal,1895228
2024-08-11,Gold Medal,1895237
2024-08-11,Gold Medal,1895172
2024-08-11,Gold Medal,1895235
2024-08-11,Gold Medal,1895161
2024-08-11,Gold Medal,1895178
2024-08-11,Gold Medal,1895234
2024-08-11,Gold Medal,1895236
2024-08-11,Gold Medal,1895180
2024-08-11,Silver Medal,1899256
2024-08-11,Silver Medal,1899239
2024-08-11,Silver Medal,1899226
2024-08-11,Silver Medal,1899206
2024-08-11,Silver Medal,1899237
2024-08-11,Silver Medal,1899214
2024-08-11,Silver Medal,1899227
2024-08-11,Silver Medal,1899231
2024-08-11,Silver Medal,1899185
2024-08-11,Silver Medal,1899247
2024-08-11,Silver Medal,1899193
2024-08-11,Silver Medal,1899181
2024-08-11,Silver Medal,1899252
2024-08-11,Silver Medal,1899246
2024-08-11,Silver Medal,3546884
2024-08-11,Silver Medal,1899187
2024-08-11,Bronze Medal,1948272
2024-08-11,Bronze Medal,1948260
2024-08-11,Bronze Medal,1948239
2024-08-11,Bronze Medal,1948238
2024-08-11,Bronze Medal,1948246
2024-08-11,Bronze Medal,1948251
2024-08-11,Bronze Medal,1948281
2024-08-11,Bronze Medal,1948233
2024-08-11,Bronze Medal,1948252
2024-08-11,Bronze Medal,1948288
2024-08-11,Bronze Medal,1948280
2024-08-11,Bronze Medal,1948240
2024-08-11,Bronze Medal,1948268
2024-08-11,Bronze Medal,1948244
2024-08-11,Bronze Medal,1948278
2024-08-11,Gold Medal,1921740
2024-08-11,Gold Medal,1921757
2024-08-11,Gold Medal,1921738
2024-08-11,Gold Medal,1921747
2024-08-11,Gold Medal,1921751
2024-08-11,Gold Medal,1921746
2024-08-11,Gold Medal,1921742
2024-08-11,Gold Medal,1921752
2024-08-11,Gold Medal,1921743
2024-08-11,Gold Medal,1969716
2024-08-11,Gold Medal,1921761
2024-08-11,Gold Medal,1921753
2024-08-11,Gold Medal,1921749
2024-08-11,Silver Medal,1917762
2024-08-11,Silver Medal,1917759
2024-08-11,Silver Medal,1917760
2024-08-11,Silver Medal,1917765
2024-08-11,Silver Medal,1917766
2024-08-11,Silver Medal,1917769
2024-08-11,Silver Medal,1917758
2024-08-11,Silver Medal,1917738
2024-08-11,Silver Medal,1917752
2024-08-11,Silver Medal,1917741
2024-08-11,Silver Medal,1917757
2024-08-11,Silver Medal,1917756
2024-08-11,Silver Medal,1917746
2024-08-11,Gold Medal,1956434
2024-08-11,Gold Medal,1956444
2024-08-11,Gold Medal,1956459
2024-08-11,Gold Medal,1956456
2024-08-11,Gold Medal,1956426
2024-08-11,Gold Medal,1956427
2024-08-11,Gold Medal,1956432
2024-08-11,Gold Medal,1956440
2024-08-11,Gold Medal,1956466
2024-08-11,Gold Medal,1956465
2024-08-11,Gold Medal,1956457
2024-08-11,Gold Medal,1956438
2024-08-11,Gold Medal,1956448
2024-08-11,Silver Medal,1915766
2024-08-11,Silver Medal,1915768
2024-08-11,Silver Medal,1915778
2024-08-11,Silver Medal,1915781
2024-08-11,Silver Medal,1915784
2024-08-11,Silver Medal,1915769
2024-08-11,Silver Medal,1915792
2024-08-11,Silver Medal,1915791
2024-08-11,Silver Medal,1915802
2024-08-11,Silver Medal,1915790
2024-08-11,Silver Medal,1915801
2024-08-11,Silver Medal,1915782
2024-08-11,Silver Medal,1915793
2024-08-11,Bronze Medal,1908370
2024-08-11,Bronze Medal,1908360
2024-08-11,Bronze Medal,1908369
2024-08-11,Bronze Medal,1908365
2024-08-11,Bronze Medal,1908353
2024-08-11,Bronze Medal,1908352
2024-08-11,Bronze Medal,1908357
2024-08-11,Bronze Medal,1908371
2024-08-11,Bronze Medal,1908350
2024-08-11,Bronze Medal,1908354
2024-08-11,Bronze Medal,1908355
2024-08-11,Bronze Medal,1908361
2024-08-11,Bronze Medal,1908359
2024-08-10,Gold Medal,1927515
2024-08-10,Gold Medal,1927516
2024-08-10,Gold Medal,1927517
2024-08-10,Gold Medal,1927518
2024-08-10,Gold Medal,1927519
2024-08-10,Silver Medal,1908226
2024-08-10,Silver Medal,1908240
2024-08-10,Silver Medal,1908233
2024-08-10,Silver Medal,1908235
